Model,team_score_mae_min,team_score_mae_max,team_score_mae_mean,team_score_mae_median,opp_score_mae_min,opp_score_mae_max,opp_score_mae_mean,opp_score_mae_median
ATL,1.6599999999999966,13.989999999999995,7.764999999999999,7.0,0.060000000000002274,13.599999999999994,5.805,3.960000000000001
CHI,0.5600000000000023,17.980000000000004,7.331250000000001,5.810000000000002,0.9399999999999977,8.450000000000003,4.172499999999999,3.9749999999999943
CON,1.1299999999999955,9.86,4.417499999999999,3.9199999999999946,1.0999999999999943,13.079999999999998,6.298749999999998,5.015000000000001
DAL,0.14000000000000057,7.670000000000002,2.7037499999999994,1.2100000000000009,1.4500000000000028,9.129999999999995,4.225,3.3200000000000003
IND,1.1800000000000068,4.209999999999994,2.6275000000000013,2.480000000000004,1.2399999999999949,7.269999999999996,4.3375,4.32
LAS,1.2099999999999937,11.86,5.4712499999999995,5.140000000000001,1.6800000000000068,6.090000000000003,3.4525000000000023,3.0450000000000017
LVA,0.4399999999999977,10.829999999999998,4.967500000000003,4.775000000000006,1.8400000000000034,11.849999999999994,6.592500000000001,5.945
League,0.09000000000000341,15.049999999999997,3.973854166666667,2.780000000000001,0.12999999999999545,18.310000000000002,3.7905208333333333,2.940000000000005
MIN,0.0799999999999983,12.799999999999997,6.437499999999998,6.854999999999997,0.9899999999999949,12.269999999999996,4.8925,4.770000000000003
NYL,0.6599999999999966,5.700000000000003,2.598750000000001,1.8599999999999994,1.8100000000000023,12.430000000000007,5.931250000000002,4.899999999999999
PHO,1.9899999999999949,10.489999999999995,5.465,3.710000000000001,2.8700000000000045,16.299999999999997,10.40625,10.704999999999998
SEA,0.29999999999999716,7.959999999999994,3.073749999999997,3.049999999999997,0.5600000000000023,8.829999999999998,5.157500000000001,4.789999999999999
WAS,0.5799999999999983,10.560000000000002,5.137500000000001,4.9950000000000045,0.6800000000000068,12.129999999999995,4.69375,3.604999999999997
